event_id,latitude,longitude,acq_date,acq_time_utc,satellite,instrument,confidence,daynight,brightness,bright_t31_k,frp_mw,scan,track,version,detection_datetime,source_id,persistence_score,persistent_flag,persistence_category,previous_frp_mw,frp_change_mw,cumulative_detections,first_detection,days_since_first_detection,previous_detection,hours_since_previous_detection
FIRMS_000834,27.31682,95.26463,2026-08-20,20:08,N21,VIIRS,n,N,306.24,285.46,1.25,0.45,0.63,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0010,0.25067010812072044,True,LOW,2.63,-1.38,2,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000015,23.75207,86.41506,2026-08-19,19:45,N20,VIIRS,n,N,302.77,270.27,0.91,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0011,0.2844885248554081,True,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000187,23.75368,86.41745,2026-08-20,19:23,N20,VIIRS,n,N,310.67,286.97,1.64,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0011,0.2844885248554081,True,LOW,0.91,0.7299999999999999,2,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000197,23.75455,86.41599,2026-08-20,19:23,N20,VIIRS,n,N,312.07,287.02,1.02,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0011,0.2844885248554081,True,LOW,1.64,-0.6199999999999999,3,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000198,23.7492,86.41847,2026-08-20,19:23,N20,VIIRS,n,N,304.39,286.59,1.02,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0011,0.2844885248554081,True,LOW,1.02,0.0,4,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000016,23.73835,86.43285,2026-08-19,19:45,N20,VIIRS,n,N,309.16,269.96,1.3,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000017,23.73741,86.43033,2026-08-19,19:45,N20,VIIRS,n,N,302.84,269.96,1.1,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.3,-0.19999999999999996,2,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000018,23.73676,86.4352,2026-08-19,19:45,N20,VIIRS,n,N,303.04,271.82,1.1,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.1,0.0,3,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000699,23.73811,86.43312,2026-08-19,20:27,N21,VIIRS,n,N,312.99,283.7,6.07,0.6,0.53,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.1,4.970000000000001,4,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000131,23.73539,86.43382,2026-08-20,06:57,N20,VIIRS,n,D,330.07,293.01,4.75,0.56,0.52,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,6.07,-1.3200000000000003,5,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000199,23.73754,86.43292,2026-08-20,19:23,N20,VIIRS,n,N,331.81,287.6,3.64,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,4.75,-1.1099999999999999,6,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000200,23.73785,86.42977,2026-08-20,19:23,N20,VIIRS,n,N,305.94,286.92,1.76,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,3.64,-1.8800000000000001,7,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000859,23.73705,86.43478,2026-08-20,20:10,N21,VIIRS,n,N,312.29,287.16,2.89,0.48,0.4,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.76,1.1300000000000001,8,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000997,23.73866,86.43509,2026-08-21,19:49,N21,VIIRS,n,N,306.43,264.86,1.37,0.39,0.36,2.0NRT,2026-08-21 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,2.89,-1.52,9,2026-08-19 00:00:00+00:00,2.0,2026-08-20 00:00:00+00:00,24.0
FIRMS_000998,23.73534,86.4345,2026-08-21,19:49,N21,VIIRS,n,N,304.61,270.0,1.37,0.39,0.36,2.0NRT,2026-08-21 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.37,0.0,10,2026-08-19 00:00:00+00:00,2.0,2026-08-21 00:00:00+00:00,0.0
FIRMS_000464,23.73578,86.4348,2026-08-22,20:27,N20,VIIRS,n,N,298.59,263.15,2.34,0.48,0.48,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.37,0.9699999999999998,11,2026-08-19 00:00:00+00:00,3.0,2026-08-21 00:00:00+00:00,24.0
FIRMS_000465,23.74022,86.43286,2026-08-22,20:27,N20,VIIRS,n,N,298.64,261.79,2.53,0.48,0.48,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,2.34,0.18999999999999995,12,2026-08-19 00:00:00+00:00,3.0,2026-08-22 00:00:00+00:00,0.0
FIRMS_001092,23.73801,86.43526,2026-08-22,19:32,N21,VIIRS,n,N,321.21,282.21,1.76,0.41,0.45,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,2.53,-0.7699999999999998,13,2026-08-19 00:00:00+00:00,3.0,2026-08-22 00:00:00+00:00,0.0
FIRMS_001093,23.73849,86.43127,2026-08-22,19:32,N21,VIIRS,n,N,305.03,281.43,1.76,0.41,0.45,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.76,0.0,14,2026-08-19 00:00:00+00:00,3.0,2026-08-22 00:00:00+00:00,0.0
FIRMS_001094,23.73438,86.43067,2026-08-22,19:32,N21,VIIRS,n,N,304.46,281.98,1.76,0.41,0.45,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.76,0.0,15,2026-08-19 00:00:00+00:00,3.0,2026-08-22 00:00:00+00:00,0.0
FIRMS_001095,23.73342,86.43871,2026-08-22,19:32,N21,VIIRS,n,N,304.54,282.81,1.14,0.41,0.45,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.76,-0.6200000000000001,16,2026-08-19 00:00:00+00:00,3.0,2026-08-22 00:00:00+00:00,0.0
FIRMS_000531,23.73584,86.43473,2026-08-23,07:39,N20,VIIRS,n,D,337.91,294.67,6.75,0.45,0.39,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.14,5.61,17,2026-08-19 00:00:00+00:00,4.0,2026-08-22 00:00:00+00:00,24.0
FIRMS_000552,23.73815,86.43221,2026-08-23,20:08,N20,VIIRS,n,N,314.1,282.38,1.32,0.42,0.37,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,6.75,-5.43,18,2026-08-19 00:00:00+00:00,4.0,2026-08-23 00:00:00+00:00,0.0
FIRMS_000553,23.73746,86.43626,2026-08-23,20:08,N20,VIIRS,n,N,305.19,280.63,1.32,0.42,0.37,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.32,0.0,19,2026-08-19 00:00:00+00:00,4.0,2026-08-23 00:00:00+00:00,0.0
FIRMS_001216,23.73973,86.43378,2026-08-23,19:13,N21,VIIRS,n,N,308.15,281.62,1.43,0.41,0.61,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.32,0.10999999999999988,20,2026-08-19 00:00:00+00:00,4.0,2026-08-23 00:00:00+00:00,0.0
FIRMS_001217,23.73451,86.42915,2026-08-23,19:13,N21,VIIRS,n,N,300.72,279.93,1.86,0.41,0.61,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.43,0.43000000000000016,21,2026-08-19 00:00:00+00:00,4.0,2026-08-23 00:00:00+00:00,0.0
FIRMS_001218,23.73416,86.43314,2026-08-23,19:13,N21,VIIRS,n,N,310.8,280.59,2.99,0.41,0.61,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0012,0.697799454843405,True,HIGH,1.86,1.1300000000000001,22,2026-08-19 00:00:00+00:00,4.0,2026-08-23 00:00:00+00:00,0.0
FIRMS_000019,23.71062,86.43102,2026-08-19,19:45,N20,VIIRS,n,N,299.96,270.53,1.47,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0013,0.129241536692149,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000020,23.6914,86.40305,2026-08-19,19:45,N20,VIIRS,n,N,301.88,270.52,0.98,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0014,0.129241536692149,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000021,23.68521,86.392,2026-08-19,19:45,N20,VIIRS,n,N,303.69,268.94,0.81,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000022,23.68456,86.39696,2026-08-19,19:45,N20,VIIRS,n,N,296.71,268.16,0.81,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,0.81,0.0,2,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000073,23.68082,86.39635,2026-08-19,19:45,N20,VIIRS,n,N,299.78,270.74,0.81,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,0.81,0.0,3,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000074,23.67708,86.39573,2026-08-19,19:45,N20,VIIRS,n,N,302.66,269.27,0.95,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,0.81,0.1399999999999999,4,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000075,23.67645,86.40062,2026-08-19,19:45,N20,VIIRS,n,N,306.32,273.12,1.88,0.5,0.41,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,0.95,0.9299999999999999,5,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000212,23.69101,86.38829,2026-08-20,19:23,N20,VIIRS,n,N,322.7,286.84,1.89,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,1.88,0.010000000000000009,6,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000213,23.68566,86.39085,2026-08-20,19:23,N20,VIIRS,n,N,311.86,287.04,1.82,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,1.89,-0.06999999999999984,7,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000214,23.68534,86.39413,2026-08-20,19:23,N20,VIIRS,n,N,313.52,287.08,1.83,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,1.82,0.010000000000000009,8,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000215,23.67999,86.39662,2026-08-20,19:23,N20,VIIRS,n,N,313.66,286.93,1.83,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,1.83,0.0,9,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000216,23.67969,86.39977,2026-08-20,19:23,N20,VIIRS,n,N,311.24,287.24,1.8,0.32,0.55,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0015,0.7475083340315088,True,HIGH,1.83,-0.030000000000000027,10,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
