source_id,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,observation_days
SOURCE_0120,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.41,1.41,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0121,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,6,1,7.883333333333333,13.66,0.0,0.14285714285714285,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0122,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,5,1,3.6100000000000003,4.68,0.0,0.14285714285714285,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0123,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,2.9450000000000003,3.42,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0124,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.14,1.14,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0125,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.38,1.38,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0126,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,0.61,0.61,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0127,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,3.38,3.38,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0128,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.19,1.19,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0129,2026-08-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,6,2,1.16,2.0,1.0,0.2857142857142857,6.0,4.8,9.6,0.0,0.0,24.0,0.09433962264150944,2,2,2,7
SOURCE_0130,2026-08-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,19,2,2.1721052631578948,8.31,1.0,0.2857142857142857,19.0,1.3333333333333333,5.497474167490218,0.0,0.0,24.0,0.15390596010422777,2,2,2,7
SOURCE_0131,2026-08-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,11,2,2.6454545454545455,4.29,1.0,0.2857142857142857,11.0,2.4,7.200000000000001,0.0,0.0,24.0,0.1219512195121951,2,2,2,7
